FileFieldId	FileId	FieldName	DataType	Validation	SparkColType	ColumnLength	Mandatory
250	10000	AMT_LAST_LIMIT_CHG	DECIMAL(11,0)	null	IntegerType()	11	FALSE
251	10000	DATE_LAST_LIMIT_CHG	DECIMAL(7,0)	null	IntegerType()	7	FALSE
252	10000	DATE_LAST_LIMIT_REVIEW	DECIMAL(7,0)	null	IntegerType()	7	FALSE
253	10000	DATE_NEXT_LIMIT_REVIEW	DECIMAL(7,0)	null	IntegerType()	7	FALSE
254	10000	DATE_CLOSE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
255	10000	DATE_CARD_SURRENDER	DECIMAL(7,0)	null	IntegerType()	7	FALSE
256	10000	DATE_CIT_ACCEPT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
257	10000	DATE_LAST_CHECK_ORDER	DECIMAL(7,0)	null	IntegerType()	7	FALSE
258	10000	NUM_CHECKS_LAST_ORDERED	DECIMAL(3,0)	null	IntegerType()	3	FALSE
259	10000	CHECKNUM_LAST_ISSUED	DECIMAL(5,0)	null	IntegerType()	5	FALSE
260	10000	NUM_CHECKS_OUT	DECIMAL(3,0)	null	IntegerType()	3	FALSE
261	10000	DATE_SEC_POOL_ID1	DECIMAL(7,0)	null	IntegerType()	7	FALSE
262	10000	DATE_SEC_POOL_ID2	DECIMAL(7,0)	null	IntegerType()	7	FALSE
263	10000	NUM_ACCT_CARDS_OUT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
264	10000	NUM_ACCT_CARDS_TO_REISSUE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
265	10000	DATE_LAST_REISSUE_EVAL	DECIMAL(7,0)	null	IntegerType()	7	FALSE
266	10000	DATE_REISSUE_ACTION	DECIMAL(7,0)	null	IntegerType()	7	FALSE
267	10000	ORIG_ACE_VERSION_OPT_SET	DECIMAL(3,0)	null	IntegerType()	3	FALSE
268	10000	WAIVE_OVERLIMIT_MONTHS	DECIMAL(3,0)	null	IntegerType()	3	FALSE
269	10000	EXPIRATION_ACCT_CARD	DECIMAL(7,0)	null	IntegerType()	7	FALSE
270	10000	EXP_ACCT_PRIOR_CARD	DECIMAL(7,0)	null	IntegerType()	7	FALSE
271	10000	DATE_CIT_EFFECTIVE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
272	10000	ANNUAL_FEE_OVRIDE_AMT	DECIMAL(13,2)	null	IntegerType()	13	FALSE
273	10000	DATE_LAST_LETTER_REQID	DECIMAL(7,0)	null	IntegerType()	7	FALSE
274	10000	NUM_LETTERS_PRINTED_LTD	DECIMAL(3,0)	null	IntegerType()	3	FALSE
275	10000	DATE_LAST_NOTICE_REQID	DECIMAL(7,0)	null	IntegerType()	7	FALSE
276	10000	NUM_NOTICE_PRINTED_LTD	DECIMAL(3,0)	null	IntegerType()	3	FALSE
277	10000	NUM_BILLED_LTD	DECIMAL(3,0)	null	IntegerType()	3	FALSE
278	10000	NUM_STMT_LTD	DECIMAL(3,0)	null	IntegerType()	3	FALSE
279	10000	NUM_STMT_WITH_FCHG_LTD	DECIMAL(3,0)	null	IntegerType()	3	FALSE
280	10000	DATE_CIT_DECLINE_EFF	DECIMAL(7,0)	null	IntegerType()	7	FALSE
281	10000	DT_LST_MAINT_LTE_FEE_WAIV	DECIMAL(7,0)	null	IntegerType()	7	FALSE
282	10000	DT_LST_MAINT_OL_FEE_WAIVE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
283	10000	DATE_LAST_DISCL_GRP_CHG	DECIMAL(7,0)	null	IntegerType()	7	FALSE
284	10000	DATE_ALT_DISCL_GRP_CHG	DECIMAL(7,0)	null	IntegerType()	7	FALSE
285	10000	DATE_STOP_ALT_DISCL_GRP	DECIMAL(7,0)	null	IntegerType()	7	FALSE
286	10000	DT_LAST_MAINT_FCHG_WAIVE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
287	10000	DATE_START_ALT_DISCL_GRP	DECIMAL(7,0)	null	IntegerType()	7	FALSE
288	10000	USER_ACCOUNT_TRANSIT_RTG	DECIMAL(9,0)	null	IntegerType()	9	FALSE
289	10000	DATE_LAST_AUTO_PAY_MNT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
290	10000	NBR_LETTERS_TODAY	DECIMAL(3,0)	null	IntegerType()	3	FALSE
291	10000	NBR_LETTERS_CYCLE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
292	10000	NBR_NOTICES_TODAY	DECIMAL(3,0)	null	IntegerType()	3	FALSE
293	10000	NBR_NOTICES_CYCLE	DECIMAL(3,0)	null	IntegerType()	3	FALSE
294	10000	MDS_COLLECT_BEHAVIOR_SCOR	DECIMAL(5,0)	null	IntegerType()	5	FALSE
295	10000	MDS_AUTH_BEHAVIOR_SCORE	DECIMAL(5,0)	null	IntegerType()	5	FALSE
296	10000	PROFITABILITY_SCORE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
297	10000	PRESCREEN_SCORE	DECIMAL(5,0)	null	IntegerType()	5	FALSE
298	10000	DATE_PRE_SCORE	DECIMAL(7,0)	null	IntegerType()	7	FALSE
299	10000	CREDIT_SCORE_ORG	DECIMAL(5,0)	null	IntegerType()	5	FALSE
300	10000	DATE_ACE_EVAL_ORG	DECIMAL(7,0)	null	IntegerType()	7	FALSE
301	10000	CREDIT_SCORE_CUR	DECIMAL(5,0)	null	IntegerType()	5	FALSE
302	10000	DATE_CREDIT_SCORE_CUR	DECIMAL(7,0)	null	IntegerType()	7	FALSE
303	10000	DATE_LAST_ADDR_CODE_CHG	DECIMAL(7,0)	null	IntegerType()	7	FALSE
304	10000	DT_LST_MNT_ANNL_FEE_OR_ST	DECIMAL(7,0)	null	IntegerType()	7	FALSE
305	10000	DATE_LAST_BILLING	DECIMAL(7,0)	null	IntegerType()	7	FALSE
306	10000	DATE_PREV_STATEMENT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
307	10000	DATE_COLL_STAT_MAINT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
308	10000	DATE_ACCT_STAT_MAINT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
309	10000	DATE_CB_STAT_MAINT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
310	10000	NUM_TIMES_TRANSFERRED	DECIMAL(2,0)	null	IntegerType()	2	FALSE
311	10000	NUM_AUTHORIZATIONS_OUT	DECIMAL(5,0)	null	IntegerType()	5	FALSE
312	10000	AMT_AUTHORIZATIONS_OUT	DECIMAL(13,2)	null	IntegerType()	13	FALSE
313	10000	DATE_LAST_AUTHORIZATION	DECIMAL(7,0)	null	IntegerType()	7	FALSE
314	10000	AMT_LAST_AUTHORIZATION	DECIMAL(13,2)	null	IntegerType()	13	FALSE
315	10000	DATE_SECURITY_FRAUD_STAT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
316	10000	DATE_FRAUD_FLAG	DECIMAL(7,0)	null	IntegerType()	7	FALSE
317	10000	DTE_LAST_COLL_RISK_OS_MNT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
318	10000	DATE_LAST_CREDIT_OS_MNT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
319	10000	DTE_LAST_CUST_SERV_OS_MNT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
320	10000	DATE_LAST_CARDS_OS_MAINT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
321	10000	DATE_LAST_STMT_OS_MAINT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
322	10000	DATE_LAST_TERMS_OS_MAINT	DECIMAL(7,0)	null	IntegerType()	7	FALSE
